timestamp,open,high,low,close,volume,pair
1589149200,8075.2,8090,8075.2,8088.3,6.05052465,BTC/EUR
1589149500,8088.4,8090,8069.1,8069.1,15.89587816,BTC/EUR
1589149800,8077.8,8080.5,8067.5,8077.9,2.09992401,BTC/EUR
1589150100,8077.9,8077.9,8077.8,8077.9,3.93125075,BTC/EUR
1589150400,8077.9,8079.4,8077.7,8079.4,14.54142045,BTC/EUR
1589150700,8080,8143.7,8079.9,8109.3,18.11965631,BTC/EUR
1589151000,8107.5,8115.3,8099.8,8115,5.40494452,BTC/EUR
1589151300,8115,8129,8113.2,8129,32.07220343,BTC/EUR
1589151600,8128.9,8185.1,8128.9,8143.4,50.60091658,BTC/EUR
1589151900,8143.4,8151.4,8090.5,8090.5,93.25573117,BTC/EUR
1589152200,8093.1,8105,8067,8090.9,30.58845369,BTC/EUR
1589152500,8090.9,8102,8082.8,8100,7.64858335,BTC/EUR
1589152800,8101.3,8102.5,8060.6,8060.6,10.43811199,BTC/EUR
1589153100,8060.6,8060.6,7969,8003.7,199.59416914,BTC/EUR
1589153400,8003.6,8003.6,7930.9,7976,61.93492809,BTC/EUR
1589153700,7979.9,8003.7,7979.9,8003,54.90053694,BTC/EUR
1589154000,8003,8010.9,8000,8002.5,58.42870201,BTC/EUR
1589154300,7993,8100,7988.9,8100,80.64676646,BTC/EUR
1589154600,8100,8110.3,8088.9,8089,148.76785562,BTC/EUR
1589154900,8089,8100,8064.7,8064.7,32.41408198,BTC/EUR
1589155200,8064.7,8126.6,8064.7,8102,37.52407606,BTC/EUR
1589155500,8101.8,8106.7,8095,8095.2,4.30444846,BTC/EUR
1589155800,8095.2,8105,8095.2,8096.2,7.43858661,BTC/EUR
1589156100,8095.3,8124.5,8095.3,8107.5,7.47277846,BTC/EUR
1589156400,8107.5,8123.5,8107,8123.5,4.64194353,BTC/EUR
1589156700,8124.7,8126.6,8102.2,8114.9,7.53638872,BTC/EUR
1589157000,8116.7,8137,8112.4,8117.6,16.98403841,BTC/EUR
1589157300,8117.6,8122.7,8105.7,8120.2,3.65963239,BTC/EUR
1589157600,8121.6,8122.5,8091.4,8097.5,4.01980369,BTC/EUR
1589157900,8097.5,8097.5,8049.3,8062.1,16.34860597,BTC/EUR
1589158200,8060.9,8085.7,8060.9,8078.3,3.56733811,BTC/EUR
1589158500,8078.3,8100.7,8078.3,8100.7,10.90340365,BTC/EUR
1589158800,8102.8,8107.5,8085.2,8098,6.87834598,BTC/EUR
1589159100,8098,8098,8079.8,8079.8,2.8548721,BTC/EUR
1589159400,8077.2,8087,8068.5,8087,8.98335377,BTC/EUR
1589159700,8085,8085.9,8050.4,8057.3,6.10133982,BTC/EUR
1589160000,8057.3,8060.9,8034,8034.8,2.84882083,BTC/EUR
1589160300,8034.2,8055,8030.8,8051.1,2.40877218,BTC/EUR
1589160600,8055,8068.3,8055,8063.6,2.98632395,BTC/EUR
1589160900,8064.4,8067.9,8050.1,8053.5,3.24797447,BTC/EUR
1589161200,8053.5,8081.1,8050.6,8079.7,1.52720135,BTC/EUR
1589161500,8080.6,8082.9,8062.8,8073.7,3.28851971,BTC/EUR
1589161800,8077.1,8077.1,8056.6,8066.4,1.5025878,BTC/EUR
1589162100,8066.4,8066.4,8044.4,8044.4,1.39808172,BTC/EUR
1589162400,8044.4,8050.3,8044.2,8048,1.28929405,BTC/EUR
1589162700,8050.8,8056,8049.1,8053.6,2.02187632,BTC/EUR
1589163000,8054.6,8054.6,8031,8045.2,1.65602525,BTC/EUR
1589163300,8051.5,8066.4,8049.5,8065.8,0.56900083,BTC/EUR
1589163600,8065.9,8077,8065.8,8077,0.90812304,BTC/EUR
1589163900,8077,8082.1,8066.5,8066.5,16.94028457,BTC/EUR
1589164200,8074.2,8077.9,8068.8,8077.5,4.73625324,BTC/EUR
1589164500,8077.5,8083,8076.7,8080.6,4.22202803,BTC/EUR
1589164800,8080.6,8083.3,8080.6,8082.6,3.39344051,BTC/EUR
1589165100,8083.2,8092.8,8076.5,8090.3,3.82730084,BTC/EUR
1589165400,8090.3,8091.7,8083.5,8091.7,0.17790564,BTC/EUR
1589165700,8091.7,8091.7,8086,8086.5,3.06992641,BTC/EUR
1589166000,8086.3,8094.6,8086.3,8092.6,1.20899252,BTC/EUR
1589166300,8096,8099.9,8094.9,8097.3,1.4775801,BTC/EUR
1589166600,8097.3,8097.4,8096.9,8097.4,0.45323089,BTC/EUR
1589166900,8098.5,8098.5,8065.8,8065.8,13.02314761,BTC/EUR
1589167200,8063.4,8065.2,8050.1,8050.1,2.1299018,BTC/EUR
1589167500,8050.3,8057,8045.2,8051.3,5.1215706,BTC/EUR
1589167800,8056.7,8056.7,8021.8,8029.9,7.76570223,BTC/EUR
1589168100,8031.9,8036.3,8006.7,8034.8,4.16018455,BTC/EUR
1589168400,8034.8,8034.8,8027.3,8032.7,10.8742602,BTC/EUR
1589168700,8031.8,8031.8,8017,8030,1.3217368,BTC/EUR
1589169000,8030,8050,8030,8050,6.17180098,BTC/EUR
1589169300,8050,8050,8037.8,8040.5,1.36799988,BTC/EUR
1589169600,8040.5,8040.5,8014.2,8039.5,7.99489504,BTC/EUR
1589169900,8039.5,8042.6,8034.1,8041.4,2.1239424,BTC/EUR
1589170200,8041.5,8043.8,8039.4,8039.4,3.56935169,BTC/EUR
1589170500,8037.9,8037.9,7989.3,7998.1,8.71835957,BTC/EUR
1589170800,7998.2,8010.1,7982.3,7996.5,9.25846587,BTC/EUR
1589171100,7996.5,8042.8,7996.5,8018.2,22.8974721,BTC/EUR
